Group,Fandom,Stage Name,Korean Stage Name,Full Name,Date of Birth,Former Group,Instagram
100%,,Minwoo†,민우,Seo Minwoo,1985-02-08,,
14U,,B.S,비에스,Lee Youngsoo,1995-04-14,,
14U,,Dohyuk,도혁,Kim Dohyuk,1998-01-16,,
14U,,E.sol,이솔,Jeon Jaehyuk,1992-09-17,,
14U,,Eunjae,은재,Kwak Eunjae,1996-05-02,,
14U,,Gohyeon,고현,Go Hyeon,1994-10-01,,
14U,,Gun,건,Kwak Gun,2001-09-29,,
14U,,Gyeongtae,경태,Kwon Gyeongtae,2000-07-23,,
14U,,Hyunwoong,현웅,Kim Hyunwoong,1998-02-08,,
14U,,Loudi,로우디,Won Jihoon,1996-04-13,,
14U,,Luha,루하,Lee Gyeonghun,1993-02-15,,
14U,,Rio,리오,Son Gwanghyuk,1999-07-16,,
14U,,Sejin,세진,Lee Sejin,1999-07-22,,
14U,,Woojoo,우주,Kim Sangyoon,1996-09-18,,
14U,,Youngwoong,영웅,Cho Youngwoon,1999-05-01,,
15&,,Jamie,박지민,Park Jimin,1997-07-05,,jiminxjamie
15&,,Yerin,백예린,Baek Yerin,1997-06-26,,yerinb
1TEAM,,BC,비시,Jin Sungho,1994-07-18,,
1TEAM,,Junghoon,정훈,Lee Junghoon,2000-07-04,,
1TEAM,,Rubin,루빈,Lee Haejoon,1995-08-16,,
1the9,,Jinsung,진성,Jung Jinsung,2002-03-30,,
1the9,,Taekhyeon,택현,Jung Taekhyeon,2003-07-28,,
24K,,Changsun,창선,Lee Changsun,1996-03-17,,
24K,,Cory,코리,Hong Joohyung,1990-11-25,,
24K,,Hongseob,홍섭,Shim Hongseob,1998-01-08,,
24K,,Hui,양휘,Liang Hui,1995-07-18,,
24K,,Jeonguk,정욱,Kim Jeonguk,1993-03-20,,
24K,,Jinhong,진홍,Kim Jinhong,1998-01-02,,
24K,,Kisu,기수,Choi Kisu,1990-10-02,,
2EYES,,Daeun,정다은,Jung Daeun,1994-06-03,,da.ni_jung
2EYES,,Dasom,다솜,Lee Dasom,1993-11-13,,
2EYES,,Hyangsuk,향숙,Lee Hyangsuk,1991-04-24,,baby_sook
2EYES,,Hyerin,혜린,Kim Hyerin,1993-06-13,,hyelyn0723
2NE1,,Bom,봄,Park Bom,1984-03-24,,haroobommi
2NE1,,CL,씨엘,Lee Chaerin,1991-02-26,,chaelincl
2NE1,,Dara,다라,Park Sandara,1984-11-12,,daraxxi
2NE1,,Minzy,민지,Kong Minji,1994-01-18,,
2PM,,Chansung,찬성,Hwang Chansung,1990-02-11,,
2PM,,Jun. K,준케이,Kim Minjun,1988-01-15,,
2PM,,Junho,준호,Lee Junho,1990-01-25,,
2PM,,Nichkhun,닉쿤,Nichkhun Horvejkul,1988-06-24,,
2PM,,Taecyeon,택연,Ok Taecyeon,1988-12-27,,
2PM,,Wooyoung,우영,Jang Wooyoung,1989-04-30,,
3YE,,Haeun,하은,Yoon Haeun,1999-03-12,Apple.B,
3YE,,Yuji,유지,Son Yuji,1998-11-25,Apple.B,
3YE,,Yurim,유림,Park Yurim,1998-04-13,Apple.B,
4minute,,Gayoon,가윤,Heo Gayoon,1990-05-18,,gayoon_heo
4minute,,HyunA,현아,Kim Hyuna,1992-06-06,Wonder Girls,hyunah_aa
4minute,,Jihyun,지현,Nam Jihyun,1990-01-09,,njh9019
4minute,,Jiyoon,지윤,Jeon Jiyoon,1990-10-15,,jenyerjiyoon
4minute,,Sohyun,소현,Kwon Sohyun,1994-08-30,,kkwonsso_94
4TEN,,Heeo,히오,Gwak Heeoh,1994-05-02,,
4TEN,,Hyeji,혜지,Jeong Hyeji,1992-04-02,,
4TEN,,Hyejin,혜진,Baek Hyejin,1996-11-21,,
4TEN,,Yoon,윤,Heo Yoon,1994-09-23,,
7 O'clock,,Andy,앤디,Lui Chunyeung,1994-10-06,,
7 O'clock,,Hyun,성현,Park Sunghyun,1997-08-25,,
7 O'clock,,Jeonggyu,정규,Lim Jeonggyu,1997-11-05,,
7 O'clock,,Rui,루이,Jang Rui,2000-03-07,,
8TURN,,Haemin,해민,Jung Haemin,2004-03-16,,
8TURN,,Jaeyun,재윤,Moon Jaeyun,2002-07-02,,
8TURN,,Kyungmin,경민,Jo Kyungmin,2004-10-28,,
8TURN,,Minho,민호,Yang Minho,2002-10-14,,
8TURN,,Myungho,명호,Ji Myungho,2001-10-12,,
8TURN,,Seungheon,승헌,Lee Seungheon,2007-05-15,,
8TURN,,Yoonsung,윤성,Cho Yoonsung,2003-11-13,,
8TURN,,Yungyu,윤규,Lee Yungyu,2005-11-07,,
9Muses,,Hyemi,혜미,Pyo Hyemi,1991-04-03,,pyopyohyemi
9Muses,,Keumjo,금조,Lee Keumjo,1992-12-17,,keumjo_1217
9Muses,,Kyungri,경리,Park Kyungri,1990-07-05,,gyeongree
9Muses,,Sojin,소진,Jo Sojin,1991-10-11,,josojin_1011
9Muses,,Sungah,성아,Son Sungah,1989-07-08,,ssungahhbaby
A.C.E,,Byeongkwan,병관,Kim Byeongkwan,1996-08-13,,
A.C.E,,Chan,찬,Kang Yoochan,1997-12-31,,
A.C.E,,Donghun,동훈,Lee Donghun,1993-05-15,,
A.C.E,,Jun,준,Park Junhee,1994-06-02,,
A.C.E,,Wow,와우,Kim Seyoon,1993-02-28,,
AB6IX,,Daehwi,대휘,Lee Daehwi,2001-01-29,Wanna One,
AB6IX,,Jeon Woong,전웅,Jeon Woong,1997-10-15,,
AB6IX,,Woojin,우진,Park Woojin,1999-11-02,Wanna One,
ABLUE,,On,온,Kim Dongwoo,-0001-11-30,,
ABLUE,,Seongsoo,성수,Park Seongsoo,1999-04-07,BECZ,
ABLUE,,Sukjun,석준,Lee Sukjun,2000-01-31,ANTARES,
ABLUE,,Wonjun,원준,Jeong Wonjun,1998-07-21,ZPZG,
ABLUE,,You,유,Kim Taeyou,1999-11-17,BECZ,
ADYA,,Chaeeun,채은,Yoon Chaeeun,2005-12-10,,
ADYA,,Sena,세나,Lim Yena,2005-10-12,,
ADYA,,Seowon,서원,Jung Seowon,2004-04-26,,
ADYA,,Seungchae,승채,Cho Seungchae,2006-10-26,,
ADYA,,Yeonsu,연수,Ryu Yeonsu,2003-02-19,,
aespa,,Giselle,지젤,Uchinaga Aeri,2000-10-30,,
aespa,,Karina,카리나,Yoo Jimin,2000-04-11,,
aespa,,Ningning,닝닝,Ning Yizhuo,2002-10-23,,
After School,,E-Young,이영,Noh Yiyoung,1992-08-16,,e_young0816
After School,,Kaeun,가은,Lee Kaeun,1994-08-20,,realkkaaanngg
After School,,Lizzy,리지,Park Sooyoung,1992-07-31,,luvlyzzy
After School,,Nana,나나,Im Jinah,1991-09-14,,jin_a_nana
After School,,Raina,레이나,Oh Hyerin,1989-05-07,,raina_57
AIMERS,,Doryun,도륜,Kim Doryun,2000-05-01,,
AIMERS,,Eunjun,은준,Choi Eunjun,1999-08-06,Spectrum,
AIMERS,,Seunghwan,승환,Park Seunghwan,2002-04-06,,
AIMERS,,Wooyoung,우영,Hwang Wooyoung,2003-06-29,,
AIMERS,,Yoel,요엘,Kim Yoel,2001-01-25,,
ALICE,,Chaejeong,채정,Lee Chaejeong,1999-08-26,,
ALICE,,EJ,이제이,Kim Eunji,1997-08-13,,
ALICE,,Karin,가린,Min Karin,2002-01-05,,
ALICE,,Yeonje,혜성,Yang Yeonje,1999-10-15,,
ALICE,,Yukyung,유경,Lee Yukyung,1999-11-05,,
AMPERS&ONE,,Brian,브라이언,Brian Ho,2002-08-27,,
AMPERS&ONE,,Jiho,지호,Choi Jiho,2004-06-10,,
AMPERS&ONE,,Kamden,캠든,Kamden Winston Na,2001-06-09,,
AMPERS&ONE,,Kyrell,카이렐,Kyrell Choi,2005-07-03,,
AMPERS&ONE,,Mackiyah,마카야,Mackiah Yejun Mercer,2006-01-21,,
AMPERS&ONE,,Seungmo,승모,Kim Seungmo,2006-07-03,,
AMPERS&ONE,,Siyun,시윤,Yoon Siyun,2005-01-08,,
ANS,,Dalyn,달린,Lee Sohyun,1999-08-27,,
ANS,,Dami,담이,Hong Dayoung,2001-06-07,,
ANS,,Haena,해나,Jeon Eunbi,2002-02-19,,
ANS,,J,제이,Lee Yeji,1998-02-12,,
ANS,,Lina,리나,Oh Sejin,1997-07-27,,
ANS,,Royeon,로연,Jeon Hyunjoo,1998-02-20,,
AoA,,Chanmi,찬미,Kim Chanmi,1996-06-19,,chanmi_96a
AoA,,Hyejeong,혜정,Shin Hyejeong,1993-08-10,,dongdong810
AoA,,Seolhyun,설현,Kim Seolhyun,1995-01-03,,sh_9513
AoA,,Yuna,유나,Seo Yuna,1992-12-30,,yn_s_1230
Apink,,Bomi,보미,Yoon Bomi,1993-08-13,,
Apink,,Chorong,초롱,Park Chorong,1991-03-03,,mulgokizary
Apink,,Eunji,은지,Jung Eunji,1993-08-18,,artist_eunji
Apink,,Hayoung,하영,Oh Hayoung,1996-07-19,,o_h_y_y
Apink,,Namjoo,남주,Kim Namjoo,1995-04-15,,sarangdungy
APRIL,,Chaekyung,채경,Yoon Chaekyung,1996-07-07,Puretty,
APRIL,,Chaewon,채원,Kim Chaewon,1997-11-08,,
APRIL,,Jinsol,진솔,Lee Jinsol,2001-12-04,,
APRIL,,Naeun,나은,Lee Naeun,1999-05-05,,
APRIL,,Rachel,레이첼,Sung Nayeon,2000-08-28,,
APRIL,,Yena,예나,Yang Yena,2000-05-22,,
AREAL,,Areum,아름,Kim Daun,1998-01-31,Rose Finger,
AREAL,,Hyebin,혜빈,Kim Hyebin,1997-03-29,Rose Finger,
AREAL,,Segye,세계,Shin Segye,1998-08-19,Rose Finger,
ARGON,,Gon,곤,Kim Seongjung,1998-11-13,,
ARGON,,Haneul,하늘,Lee Haneul,1996-06-03,,
ARGON,,Jaeun,재운,Ha Jaeun,1999-09-28,,
ARGON,,Kain,카인,Bang Junho,1997-03-25,,
ARGON,,Roel,로엘,Kim Sunho,1997-02-13,,
ARGON,,Yeoun,여운,Lee Kyeongbin,1997-09-03,,
